id_orden,id_cliente,id_empleado,id_sucursal,fecha_hora,subtotal,iva,total,metodo_pago,estatus
801,11,9,1,2026-09-18 17:16:59,1300.0,208.0,1508.0,Efectivo,Pagada
802,1,18,2,2026-09-18 14:32:59,9550.0,1528.0,11078.0,Efectivo,Pagada
803,24,11,1,2026-09-17 21:37:59,5238.0,838.08,6076.08,Transferencia,Pagada
804,4,12,1,2026-09-18 06:19:59,2285.0,365.6,2650.6,Tarjeta de Débito,Pagada
805,44,13,2,2026-09-17 22:02:59,1689.0,270.24,1959.24,Tarjeta de Crédito,Pagada
806,33,15,2,2026-09-18 13:12:59,5700.0,912.0,6612.0,Tarjeta de Crédito,Pagada
807,9,3,1,2026-09-17 18:47:59,3186.0,509.76,3695.76,Tarjeta de Débito,Pagada
808,11,11,1,2026-09-18 10:09:59,22789.0,3646.24,26435.24,Tarjeta de Débito,Pagada
809,30,3,1,,2600.0,416.0,3016.0,Transferencia,Pagada
810,2,3,1,2026-09-18 10:38:59,1950.0,312.0,2262.0,Transferencia,Pagada
811,1,9,1,2026-09-17 21:28:59,19380.0,3100.8,22480.8,Transferencia,Pendiente
812,17,9,1,2026-09-18 05:14:59,8400.0,1344.0,9744.0,Tarjeta de Crédito,Pagada
813,9,9,1,2026-09-18 04:13:59,13050.0,2088.0,15138.0,Efectivo,Pagada
814,30,7,2,2026-09-17 23:20:59,11600.0,1856.0,13456.0,Efectivo,Cancelada
815,11,3,1,2026-09-17 18:43:59,9800.0,1568.0,11368.0,Transferencia,Cancelada
816,31,15,2,2026-09-18 01:05:59,44335.0,7093.6,51428.6,Tarjeta de Débito,Pagada
817,4,3,1,2026-09-18 17:18:59,19444.0,3111.04,22555.04,Transferencia,Pagada
818,20,4,2,2026-09-17 19:29:59,10195.0,1631.2,11826.2,Tarjeta de Crédito,Pagada
819,8,12,1,2026-09-18 08:34:59,21600.0,3456.0,25056.0,Transferencia,Pagada
820,9,9,1,2026-09-17 18:05:59,8100.0,1296.0,9396.0,Tarjeta de Crédito,Pagada
821,12,3,1,2026-09-18 16:26:59,891.0,142.56,1033.56,Transferencia,Pagada
822,30,3,1,2026-09-18 08:51:59,46987.0,7517.92,54504.92,Efectivo,Pagada
823,8,12,1,2026-09-18 11:45:59,16800.0,2688.0,19488.0,Efectivo,Pendiente
824,11,3,1,2026-09-18 05:10:59,47088.0,7534.08,54622.08,Efectivo,Pagada
825,16,3,1,2026-09-17 22:16:59,5190.0,830.4,6020.4,Tarjeta de Crédito,Pagada
826,34,4,2,2026-09-18 14:45:59,46985.0,7517.6,54502.6,Efectivo,Pagada
827,26,3,1,2026-09-18 03:59:59,18750.0,3000.0,21750.0,Transferencia,Cancelada
828,18,12,1,2026-09-18 02:46:59,14800.0,2368.0,17168.0,Tarjeta de Crédito,Pagada
829,1,3,1,2026-09-18 10:07:59,4050.0,648.0,4698.0,Efectivo,Pagada
830,6,17,2,2026-09-18 05:38:59,34050.0,5448.0,39498.0,Efectivo,Pagada
831,30,2,2,2026-09-18 17:02:59,42000.0,6720.0,48720.0,Tarjeta de Crédito,Pagada
832,37,12,1,2026-09-18 04:39:59,1386.0,221.76,1607.76,Tarjeta de Crédito,Pagada
833,7,12,1,2026-09-17 20:54:59,600.0,96.0,696.0,Transferencia,Pagada
834,39,3,1,2026-09-18 04:33:59,14385.0,2301.6,16686.6,Tarjeta de Crédito,Pagada
835,8,12,1,2026-09-18 14:35:59,9100.0,1456.0,10556.0,Tarjeta de Crédito,Pagada
836,43,13,2,2026-09-18 16:45:59,37950.0,6072.0,44022.0,Tarjeta de Débito,Pagada
837,4,15,2,2026-09-18 07:00:59,25839.0,4134.24,29973.24,Tarjeta de Débito,Pagada
838,45,12,1,2026-09-18 01:36:59,31150.0,4984.0,36134.0,Tarjeta de Débito,Pagada
839,45,10,2,2026-09-17 18:14:59,25000.0,4000.0,29000.0,Tarjeta de Crédito,Pendiente
840,22,12,1,2026-09-17 21:03:59,10400.0,1664.0,12064.0,Transferencia,Pagada
841,32,12,1,2026-09-18 10:38:59,11585.0,1853.6,13438.6,Transferencia,Pagada
842,43,7,2,2026-09-18 11:29:59,1500.0,240.0,1740.0,Tarjeta de Crédito,Pagada
843,36,3,1,2026-09-18 04:46:59,1446.0,231.36,1677.36,Efectivo,Pagada
844,3,11,1,2026-09-18 13:07:59,8500.0,1360.0,9860.0,Transferencia,Pagada
845,31,3,1,2026-09-18 10:07:59,7850.0,1256.0,9106.0,Efectivo,Pagada
846,22,9,1,2026-09-17 21:52:59,1500.0,240.0,1740.0,Efectivo,Pagada
847,11,18,2,2026-09-18 03:44:59,27700.0,4432.0,32132.0,Tarjeta de Débito,Pagada
848,16,7,2,2026-09-18 11:20:59,1800.0,288.0,2088.0,Transferencia,Pagada
849,10,11,1,2026-09-17 20:43:59,8400.0,1344.0,9744.0,Tarjeta de Crédito,Pagada
850,40,12,1,2026-09-18 05:39:59,3288.0,526.08,3814.08,Transferencia,Pagada
851,12,3,1,2026-09-17 20:04:59,35446.0,5671.36,41117.36,Transferencia,Pagada
852,23,11,1,2026-09-18 11:36:59,10844.0,1735.04,12579.04,Tarjeta de Débito,Pendiente
853,37,13,2,2026-09-17 23:51:59,1500.0,240.0,1740.0,Tarjeta de Débito,Pagada
854,1,16,2,2026-09-17 19:52:59,20700.0,3312.0,24012.0,Tarjeta de Débito,Pagada
855,49,12,1,2026-09-18 00:23:59,9100.0,1456.0,10556.0,Tarjeta de Crédito,Pagada
856,41,5,2,2026-09-18 04:17:59,2600.0,416.0,3016.0,Efectivo,Pagada
857,4,3,1,2026-09-17 21:47:59,32400.0,5184.0,37584.0,Tarjeta de Crédito,Pagada
858,17,17,2,2026-09-18 00:27:59,2950.0,472.0,3422.0,Transferencia,Pagada
859,42,3,1,2026-09-17 23:03:59,31300.0,5008.0,36308.0,Efectivo,Pagada
860,46,16,2,2026-09-17 23:52:59,5850.0,936.0,6786.0,Transferencia,Pagada
861,43,3,1,2026-09-17 19:38:59,78750.0,12600.0,91350.0,Transferencia,Pagada
862,48,13,2,2026-09-17 22:28:59,55750.0,8920.0,64670.0,Transferencia,Pendiente
863,42,13,2,2026-09-18 10:35:59,22050.0,3528.0,25578.0,Tarjeta de Crédito,Pagada
864,23,4,2,2026-09-17 19:50:59,9000.0,1440.0,10440.0,Efectivo,Pagada
865,22,2,2,2026-09-18 05:30:59,18195.0,2911.2,21106.2,Tarjeta de Crédito,Pagada
866,47,12,1,2026-09-18 00:17:59,2400.0,384.0,2784.0,Tarjeta de Crédito,Pagada
867,7,11,1,2026-09-18 16:49:59,2100.0,336.0,2436.0,Tarjeta de Crédito,Pagada
868,18,9,1,2026-09-17 22:55:59,25950.0,4152.0,30102.0,Transferencia,Pagada
869,13,18,2,2026-09-18 16:16:59,19900.0,3184.0,23084.0,Tarjeta de Débito,Pagada
870,31,11,1,2026-09-18 16:09:59,60571.0,9691.36,70262.36,Efectivo,Pagada
871,22,9,1,2026-09-17 18:21:59,47500.0,7600.0,55100.0,Tarjeta de Débito,Pagada
872,21,11,1,2026-09-17 22:48:59,50950.0,8152.0,59102.0,Tarjeta de Débito,Pagada
873,30,3,1,2026-09-17 20:29:59,29850.0,4776.0,34626.0,Efectivo,Pagada
874,43,16,2,2026-09-18 04:31:59,10484.0,1677.44,12161.44,Transferencia,Pagada
875,47,3,1,2026-09-18 16:41:59,6048.0,967.68,7015.68,Tarjeta de Crédito,Pagada
876,3,5,2,2026-09-18 06:08:59,56930.0,9108.8,66038.8,Efectivo,Pagada
877,26,3,1,2026-09-18 05:50:59,1650.0,264.0,1914.0,Tarjeta de Crédito,Pagada
878,20,5,2,2026-09-18 05:56:59,58912.0,9425.92,68337.92,Efectivo,Pagada
879,37,3,1,2026-09-18 01:30:59,693.0,110.88,803.88,Tarjeta de Crédito,Cancelada
880,20,3,1,2026-09-17 23:10:59,3300.0,528.0,3828.0,Tarjeta de Débito,Pagada
881,19,12,1,2026-09-18 00:26:59,55350.0,8856.0,64206.0,Tarjeta de Crédito,Pagada
882,48,3,1,2026-09-18 07:30:59,9331.1,1492.98,10824.08,Tarjeta de Débito,Pagada
883,1,9,1,2026-09-18 04:35:59,52700.0,8432.0,61132.0,Tarjeta de Crédito,Pagada
884,33,3,1,2026-09-18 00:12:59,22587.0,3613.92,26200.92,Tarjeta de Crédito,Pagada
885,37,2,2,2026-09-18 17:06:59,297.0,47.52,344.52,Tarjeta de Débito,Pagada
886,26,4,2,2026-09-17 18:29:59,45000.0,7200.0,52200.0,Efectivo,Pagada
887,36,18,2,2026-09-18 03:26:59,61850.0,9896.0,71746.0,Efectivo,Cancelada
888,28,3,1,2026-09-18 03:30:59,6430.0,1028.8,7458.8,Tarjeta de Crédito,Pagada
889,24,7,2,,1485.0,237.6,1722.6,Transferencia,Pagada
890,36,3,1,2026-09-18 11:14:59,1400.0,224.0,1624.0,Tarjeta de Débito,Pagada
891,19,12,1,2026-09-17 20:05:59,47246.0,7559.36,54805.36,Transferencia,Cancelada
