id_detalle,id_orden,id_producto,cantidad,precio_unitario_aplicado,descuento
2390,801,104,2,650.0,0.0
2391,802,102,9,700.0,0.0
2392,802,104,5,650.0,0.0
2393,803,101,6,150.0,0.0
2394,803,105,12,99.0,0.0
2395,803,106,8,150.0,0.0
2396,803,106,8,150.0,0.0
2397,803,101,5,150.0,0.0
2398,804,106,3,150.0,0.0
2399,804,104,1,650.0,0.0
2400,804,101,2,150.0,0.0
2401,804,106,6,150.0,15.0
2402,805,105,11,99.0,0.0
2403,805,106,4,150.0,0.0
2404,806,101,15,150.0,0.0
2405,806,104,1,650.0,0.0
2406,806,102,4,700.0,0.0
2407,807,105,14,99.0,0.0
2408,807,106,12,150.0,0.0
2409,808,104,2,650.0,0.0
2410,808,105,11,99.0,0.0
2411,808,106,3,150.0,0.0
2412,808,103,6,3000.0,0.0
2413,808,106,13,150.0,0.0
2414,809,104,4,650.0,0.0
2415,810,104,3,650.0,0.0
2416,811,102,4,700.0,70.0
2417,811,103,5,3000.0,0.0
2418,811,106,11,150.0,0.0
2419,812,102,12,700.0,0.0
2420,813,106,5,150.0,0.0
2421,813,106,6,150.0,0.0
2422,813,106,6,150.0,0.0
2423,813,102,15,700.0,0.0
2424,814,104,6,650.0,0.0
2425,814,102,11,700.0,0.0
2426,815,104,9,650.0,0.0
2427,815,104,4,650.0,0.0
2428,815,106,6,150.0,0.0
2429,815,101,3,150.0,0.0
2430,816,102,10,700.0,0.0
2431,816,104,10,650.0,65.0
2432,816,104,6,650.0,0.0
2433,816,103,9,3000.0,0.0
2434,817,105,6,99.0,0.0
2435,817,104,13,650.0,0.0
2436,817,104,9,650.0,0.0
2437,817,104,7,650.0,0.0
2438,818,101,2,150.0,0.0
2439,818,105,5,99.0,0.0
2440,818,104,4,650.0,0.0
2441,818,104,10,650.0,0.0
2442,818,106,2,150.0,0.0
2443,819,106,6,150.0,0.0
2444,819,103,7,3000.0,300.0
2445,820,104,12,650.0,0.0
2446,820,106,2,150.0,0.0
2447,821,105,4,99.0,0.0
2448,821,105,5,99.0,0.0
2449,822,105,13,99.0,0.0
2450,822,103,15,3000.0,0.0
2451,822,102,1,700.0,0.0
2452,823,102,9,700.0,0.0
2453,823,102,15,700.0,0.0
2454,824,104,2,650.0,0.0
2455,824,104,4,650.0,0.0
2456,824,105,12,99.0,0.0
2457,824,103,14,3000.0,0.0
2458,825,105,6,99.0,0.0
2459,825,105,4,99.0,0.0
2460,825,102,3,700.0,0.0
2461,825,106,14,150.0,0.0
2462,826,106,3,150.0,15.0
2463,826,103,15,3000.0,0.0
2464,826,104,1,650.0,0.0
2465,826,101,6,150.0,0.0
2466,827,103,2,3000.0,0.0
2467,827,101,12,150.0,0.0
2468,827,104,3,650.0,0.0
2469,827,103,3,3000.0,0.0
2470,828,104,5,650.0,0.0
2471,828,106,7,150.0,0.0
2472,828,102,12,700.0,0.0
2473,828,102,3,700.0,0.0
2474,829,106,15,150.0,0.0
2475,829,106,10,150.0,0.0
2476,829,101,2,150.0,0.0
2477,830,101,7,150.0,0.0
2478,830,103,11,3000.0,0.0
2479,831,103,14,3000.0,0.0
2480,832,105,14,99.0,0.0
2481,833,101,4,150.0,0.0
2482,834,102,3,700.0,0.0
2483,834,101,3,150.0,0.0
2484,834,104,3,650.0,0.0
2485,834,105,15,99.0,0.0
2486,834,102,12,700.0,0.0
2487,835,102,13,700.0,0.0
2488,836,106,9,150.0,0.0
2489,836,102,12,700.0,0.0
2490,836,106,8,150.0,0.0
2491,836,103,9,3000.0,0.0
2492,837,105,4,99.0,0.0
2493,837,103,8,3000.0,0.0
2494,837,105,7,99.0,0.0
2495,837,101,5,150.0,0.0
2496,838,104,11,650.0,0.0
2497,838,103,8,3000.0,0.0
2498,839,102,1,700.0,0.0
2499,839,104,5,650.0,0.0
2500,839,102,14,700.0,0.0
2501,839,104,13,650.0,0.0
2502,839,102,4,700.0,0.0
2503,840,104,13,650.0,0.0
2504,840,101,5,150.0,0.0
2505,840,101,8,150.0,0.0
2506,841,106,14,150.0,0.0
2507,841,106,14,150.0,0.0
2508,841,104,6,650.0,0.0
2509,841,104,2,650.0,65.0
2510,841,101,15,150.0,0.0
2511,842,106,10,150.0,0.0
2512,843,101,7,150.0,0.0
2513,843,105,4,99.0,0.0
2514,844,106,10,150.0,0.0
2515,844,102,10,700.0,0.0
2516,845,101,1,150.0,0.0
2517,845,102,11,700.0,0.0
2518,846,106,9,150.0,0.0
2519,846,101,1,150.0,0.0
2520,847,102,1,700.0,0.0
2521,847,103,9,3000.0,0.0
2522,848,106,12,150.0,0.0
2523,849,102,12,700.0,0.0
2524,850,101,5,150.0,0.0
2525,850,105,12,99.0,0.0
2526,850,101,9,150.0,0.0
2527,851,104,10,650.0,0.0
2528,851,104,6,650.0,0.0
2529,851,105,4,99.0,0.0
2530,851,104,1,650.0,0.0
2531,851,103,8,3000.0,0.0
2532,852,104,7,650.0,0.0
2533,852,105,6,99.0,0.0
2534,852,103,2,3000.0,300.0
2535,853,101,10,150.0,0.0
2536,854,103,7,3000.0,300.0
2537,855,104,14,650.0,0.0
2538,856,104,4,650.0,0.0
2539,857,103,8,3000.0,0.0
2540,857,102,12,700.0,0.0
2541,858,101,15,150.0,0.0
2542,858,102,1,700.0,0.0
2543,859,103,4,3000.0,0.0
2544,859,104,2,650.0,0.0
2545,859,103,6,3000.0,0.0
2546,860,104,9,650.0,0.0
2547,861,104,9,650.0,0.0
2548,861,103,13,3000.0,0.0
2549,861,106,6,150.0,0.0
2550,861,103,11,3000.0,0.0
2551,862,104,13,650.0,0.0
2552,862,102,11,700.0,0.0
2553,862,104,6,650.0,0.0
2554,862,103,12,3000.0,300.0
2555,863,103,7,3000.0,0.0
2556,863,106,7,150.0,0.0
2557,864,102,3,700.0,70.0
2558,864,106,11,150.0,0.0
2559,864,101,6,150.0,0.0
2560,864,102,5,700.0,70.0
2561,864,105,10,99.0,0.0
2562,865,105,5,99.0,0.0
2563,865,103,6,3000.0,300.0
2564,866,106,7,150.0,0.0
2565,866,101,9,150.0,0.0
2566,867,101,1,150.0,0.0
2567,867,101,13,150.0,0.0
2568,868,104,3,650.0,0.0
2569,868,103,8,3000.0,0.0
2570,869,101,12,150.0,0.0
2571,869,102,10,700.0,0.0
2572,869,106,9,150.0,0.0
2573,869,104,15,650.0,0.0
2574,870,104,3,650.0,65.0
2575,870,105,14,99.0,0.0
2576,870,101,12,150.0,0.0
2577,870,102,15,700.0,0.0
2578,870,103,15,3000.0,0.0
2579,871,101,10,150.0,0.0
2580,871,102,10,700.0,0.0
2581,871,103,11,3000.0,0.0
2582,871,106,1,150.0,0.0
2583,871,104,9,650.0,0.0
2584,872,106,6,150.0,0.0
2585,872,103,14,3000.0,0.0
2586,872,101,12,150.0,0.0
2587,872,102,8,700.0,0.0
2588,872,104,1,650.0,0.0
2589,873,102,15,700.0,0.0
2590,873,104,15,650.0,0.0
2591,873,101,8,150.0,0.0
2592,873,102,12,700.0,0.0
2593,874,104,7,650.0,0.0
2594,874,106,15,150.0,0.0
2595,874,102,3,700.0,0.0
2596,874,105,7,99.0,0.0
2597,874,105,9,99.0,0.0
2598,875,105,2,99.0,0.0
2599,875,104,9,650.0,0.0
2600,876,102,13,700.0,70.0
2601,876,102,1,700.0,0.0
2602,876,106,14,150.0,0.0
