id_movimiento,id_producto,id_sucursal,tipo,cantidad,fecha_hora,id_orden_venta,id_orden_compra
1,105,1,Salida,-2,2026-09-12 05:02:39,1,
2,105,2,Salida,-10,2026-09-11 21:18:39,2,
3,105,2,Salida,-11,2026-09-11 21:18:39,2,
4,104,2,Salida,-12,2026-09-11 21:18:39,2,
5,103,2,Salida,-6,2026-09-11 21:18:39,2,
6,105,1,Salida,-15,2026-09-12 03:13:39,3,
7,104,1,Salida,-15,2026-09-12 03:13:39,3,
8,104,1,Salida,-7,2026-09-12 09:20:39,4,
9,102,1,Salida,-10,2026-09-12 09:20:39,4,
10,102,1,Salida,-6,2026-09-12 07:17:39,5,
11,101,1,Salida,-5,2026-09-12 07:17:39,5,
12,102,1,Salida,-12,2026-09-12 07:17:39,5,
13,101,1,Salida,-10,2026-09-12 07:17:39,5,
14,104,1,Salida,-10,2026-09-12 07:17:39,5,
15,103,2,Salida,-9,2026-09-12 07:55:39,6,
16,101,2,Salida,-6,2026-09-12 07:55:39,6,
17,104,2,Salida,-15,2026-09-12 07:55:39,6,
18,101,1,Salida,-3,2026-09-11 19:55:39,7,
19,104,1,Salida,-8,2026-09-11 22:24:39,8,
20,105,1,Salida,-3,2026-09-12 06:29:39,9,
21,106,1,Salida,-13,2026-09-12 06:29:39,9,
22,102,1,Salida,-2,2026-09-12 06:29:39,9,
23,101,1,Salida,-4,2026-09-12 06:29:39,9,
24,102,1,Salida,-1,2026-09-12 06:29:39,9,
25,101,1,Salida,-2,2026-09-11 15:12:39,10,
26,101,1,Salida,-11,2026-09-11 15:12:39,10,
27,105,2,Salida,-11,2026-09-11 20:29:39,11,
28,105,2,Salida,-9,2026-09-11 20:29:39,11,
29,103,2,Salida,-12,2026-09-11 20:29:39,11,
30,105,2,Salida,-10,2026-09-11 20:29:39,11,
31,105,2,Salida,-8,2026-09-12 05:10:39,12,
32,106,2,Salida,-12,2026-09-12 05:10:39,12,
33,104,2,Salida,-4,2026-09-12 05:10:39,12,
34,104,2,Salida,-6,2026-09-12 05:10:39,12,
35,105,2,Salida,-14,2026-09-12 07:34:39,13,
36,102,2,Salida,-9,2026-09-12 07:34:39,13,
37,106,2,Salida,-7,2026-09-12 07:34:39,13,
38,101,2,Salida,-13,2026-09-12 07:34:39,13,
39,102,1,Salida,-2,2026-09-11 12:31:39,14,
40,103,1,Salida,-6,2026-09-11 12:31:39,14,
41,103,1,Ajuste,-14,2026-09-11 12:31:39,14,
42,101,1,Salida,-11,2026-09-11 12:31:39,14,
43,103,1,Salida,-14,2026-09-12 04:32:39,15,
44,104,1,Salida,-6,2026-09-12 04:32:39,15,
45,101,1,Salida,-11,2026-09-12 04:32:39,15,
46,106,1,Salida,-10,2026-09-12 04:32:39,15,
47,102,1,Salida,-6,2026-09-11 15:13:39,16,
48,101,1,Salida,-13,2026-09-11 15:13:39,16,
49,102,1,Salida,-14,2026-09-11 15:13:39,16,
50,105,1,Salida,-6,2026-09-11 15:13:39,16,
51,105,1,Ajuste,-15,2026-09-11 15:13:39,16,
52,103,1,Salida,-11,2026-09-11 12:57:39,17,
53,105,1,Salida,-11,2026-09-11 12:57:39,17,
54,103,1,Salida,-1,2026-09-11 12:57:39,17,
55,101,1,Salida,-11,2026-09-11 12:57:39,17,
56,105,1,Salida,-11,2026-09-11 12:00:39,18,
57,103,1,Salida,-3,2026-09-11 12:00:39,18,
58,106,1,Salida,-2,2026-09-11 12:00:39,18,
59,102,2,Salida,-10,2026-09-11 17:21:39,19,
60,101,2,Salida,-1,2026-09-11 12:48:39,21,
61,105,2,Salida,-10,2026-09-11 12:48:39,21,
62,106,1,Salida,-9,2026-09-11 15:25:39,22,
63,105,1,Salida,-12,2026-09-11 15:25:39,22,
64,103,1,Salida,-1,2026-09-11 15:25:39,22,
65,103,2,Salida,-5,2026-09-12 01:56:39,23,
66,105,1,Salida,-12,2026-09-12 03:24:39,24,
67,103,1,Salida,-5,2026-09-12 03:24:39,24,
68,101,1,Salida,-7,2026-09-11 19:39:39,25,
69,103,1,Salida,-7,2026-09-11 19:39:39,25,
70,105,1,Salida,-15,2026-09-11 11:52:39,27,
71,106,1,Salida,-13,2026-09-11 11:52:39,27,
72,101,1,Salida,-15,2026-09-11 11:52:39,27,
73,104,1,Salida,-1,2026-09-11 11:52:39,27,
74,105,1,Salida,-7,2026-09-11 19:14:39,28,
75,103,1,Salida,-6,2026-09-11 19:14:39,28,
76,102,1,Salida,-5,2026-09-11 19:14:39,28,
77,105,1,Salida,-12,2026-09-11 19:14:39,28,
78,101,1,Salida,-10,2026-09-11 19:14:39,28,
79,102,2,Salida,-2,2026-09-11 23:59:39,29,
80,104,1,Salida,-6,2026-09-12 04:59:39,31,
81,103,1,Salida,-3,2026-09-12 04:59:39,31,
82,104,1,Salida,-5,2026-09-12 04:59:39,31,
83,104,1,Salida,-4,2026-09-12 03:21:39,32,
84,106,1,Salida,-10,2026-09-12 03:21:39,32,
85,101,1,Salida,-9,2026-09-11 13:57:39,33,
86,101,1,Salida,-7,2026-09-11 13:57:39,33,
87,104,1,Salida,-8,2026-09-11 13:57:39,33,
88,106,1,Salida,-15,2026-09-11 13:57:39,33,
89,106,2,Salida,-14,2026-09-11 13:06:39,35,
90,102,2,Salida,-11,2026-09-11 13:06:39,35,
91,106,1,Salida,-7,2026-09-12 01:57:39,36,
92,105,1,Salida,-12,2026-09-12 01:57:39,36,
93,103,1,Salida,-13,2026-09-12 01:57:39,36,
94,102,1,Salida,-3,2026-09-11 16:24:39,37,
95,104,1,Salida,-8,2026-09-11 16:24:39,37,
96,101,1,Salida,-12,2026-09-11 16:24:39,37,
97,103,1,Salida,-13,2026-09-11 16:24:39,37,
98,106,1,Salida,-14,2026-09-11 16:24:39,37,
99,102,1,Salida,-3,2026-09-11 22:23:39,38,
100,106,2,Salida,-15,2026-09-12 09:21:39,40,
101,104,2,Salida,-6,2026-09-12 09:21:39,40,
102,105,2,Salida,-15,2026-09-12 09:21:39,40,
103,102,2,Salida,-5,2026-09-11 16:16:39,41,
104,104,2,Salida,1,2026-09-12 00:45:39,42,
105,104,2,Ajuste,-3,2026-09-12 00:45:39,42,
106,103,2,Salida,-11,2026-09-11 23:11:39,43,
107,102,2,Salida,-5,2026-09-11 23:11:39,43,
108,103,2,Salida,-3,2026-09-11 23:11:39,43,
109,105,2,Salida,-12,2026-09-11 23:11:39,43,
110,101,2,Salida,-10,2026-09-12 01:02:39,44,
111,105,2,Salida,-5,2026-09-12 01:02:39,44,
112,102,2,Salida,-5,2026-09-11 21:43:39,45,
113,102,2,Salida,-4,2026-09-11 21:43:39,45,
114,103,2,Salida,-8,2026-09-11 21:43:39,45,
115,104,2,Salida,-3,2026-09-11 21:43:39,45,
116,106,1,Salida,-3,2026-09-11 20:30:39,46,
117,106,1,Salida,-3,2026-09-11 20:30:39,46,
118,106,1,Salida,-7,2026-09-11 20:30:39,46,
119,106,1,Salida,-5,2026-09-11 11:04:39,47,
120,103,1,Salida,-4,2026-09-11 11:04:39,47,
121,105,1,Salida,-9,2026-09-11 11:04:39,47,
122,101,1,Salida,-5,2026-09-11 23:33:39,49,
123,103,1,Salida,-11,2026-09-11 23:33:39,49,
124,101,1,Salida,-7,2026-09-11 23:33:39,49,
125,104,1,Salida,-13,2026-09-11 23:33:39,49,
126,106,1,Salida,-4,2026-09-12 09:55:39,50,
127,101,1,Salida,-2,2026-09-12 09:55:39,50,
128,104,1,Salida,-12,2026-09-12 09:55:39,50,
129,101,1,Salida,-8,2026-09-12 09:55:39,50,
130,104,1,Salida,-3,2026-09-12 09:55:39,50,
131,101,2,Salida,-6,2026-09-12 00:53:39,51,
132,102,2,Salida,-3,2026-09-12 00:53:39,51,
133,102,2,Ajuste,-2,2026-09-12 00:53:39,51,
134,103,1,Ajuste,-15,2026-09-11 17:57:39,52,
135,103,1,Salida,-8,2026-09-11 17:57:39,52,
136,105,1,Salida,-11,2026-09-11 17:57:39,52,
137,101,1,Salida,-13,2026-09-11 17:57:39,52,
138,106,1,Salida,-3,2026-09-11 23:16:39,53,
139,103,1,Salida,-12,2026-09-11 23:16:39,53,
140,102,1,Salida,-12,2026-09-11 11:15:39,54,
141,103,1,Salida,-1,2026-09-11 11:15:39,54,
142,106,1,Salida,-11,2026-09-11 11:15:39,54,
143,102,1,Salida,-15,2026-09-11 11:15:39,54,
144,104,1,Salida,-13,2026-09-11 11:15:39,54,
145,106,2,Salida,-8,2026-09-11 20:23:39,55,
146,101,2,Salida,-7,2026-09-11 20:23:39,55,
147,102,2,Salida,-8,2026-09-11 20:23:39,55,
148,106,2,Salida,-14,2026-09-11 20:23:39,55,
149,104,1,Salida,-9,2026-09-12 06:01:39,56,
150,105,2,Salida,-2,2026-09-12 04:55:39,57,
151,105,2,Salida,-15,2026-09-12 04:55:39,57,
152,106,2,Salida,-11,2026-09-12 04:55:39,57,
153,103,2,Salida,-3,2026-09-12 04:55:39,57,
154,105,2,Salida,-5,2026-09-12 04:55:39,57,
155,103,2,Salida,-3,2026-09-11 16:11:39,58,
156,103,2,Salida,-14,2026-09-11 16:11:39,58,
157,106,2,Salida,-15,2026-09-11 16:11:39,58,
158,105,1,Salida,-9,2026-09-12 00:19:39,59,
159,101,1,Salida,-9,2026-09-12 00:19:39,59,
160,102,1,Salida,-4,2026-09-12 00:19:39,59,
161,103,2,Salida,-5,2026-09-12 01:34:39,60,
162,104,2,Salida,-14,2026-09-12 01:34:39,60,
163,106,2,Salida,-2,2026-09-12 01:34:39,60,
164,101,1,Salida,-8,2026-09-12 07:38:39,61,
165,104,1,Ajuste,-14,2026-09-11 20:52:39,62,
166,104,1,Salida,-8,2026-09-11 20:52:39,62,
167,104,1,Salida,-11,2026-09-11 20:52:39,62,
168,102,1,Salida,-5,2026-09-11 21:03:39,63,
169,101,1,Salida,-15,2026-09-11 21:03:39,63,
170,103,1,Salida,-1,2026-09-11 21:03:39,63,
171,103,1,Salida,-6,2026-09-11 21:03:39,63,
172,105,1,Salida,-2,2026-09-11 21:03:39,63,
173,101,2,Salida,-11,2026-09-12 01:27:39,64,
174,103,2,Salida,-6,2026-09-12 01:27:39,64,
175,102,2,Salida,-1,2026-09-12 01:27:39,64,
176,105,2,Ajuste,-14,2026-09-12 01:27:39,64,
177,106,2,Salida,-12,2026-09-12 01:27:39,64,
178,102,1,Salida,-1,2026-09-12 00:06:39,65,
179,106,1,Salida,-9,2026-09-12 00:06:39,65,
180,103,1,Salida,-10,2026-09-12 00:06:39,65,
181,105,2,Salida,-12,2026-09-11 21:01:39,66,
182,102,2,Salida,-6,2026-09-11 21:01:39,66,
183,103,2,Salida,-2,2026-09-12 02:02:39,67,
184,104,2,Salida,-10,2026-09-12 02:02:39,67,
185,106,1,Salida,-3,2026-09-11 12:02:39,68,
186,102,1,Salida,-14,2026-09-11 12:02:39,68,
187,102,1,Salida,-4,2026-09-11 12:02:39,68,
188,106,1,Salida,-4,2026-09-11 17:03:39,69,
189,103,1,Ajuste,-4,2026-09-11 17:03:39,69,
190,104,1,Salida,-1,2026-09-11 17:03:39,69,
191,106,1,Salida,-9,2026-09-11 17:03:39,69,
192,102,1,Salida,-6,2026-09-11 17:03:39,69,
193,103,1,Salida,-10,2026-09-12 04:06:39,70,
194,103,1,Salida,-10,2026-09-12 04:06:39,70,
195,105,1,Salida,-9,2026-09-12 04:06:39,70,
196,106,1,Salida,-1,2026-09-12 04:06:39,70,
197,103,1,Salida,-15,2026-09-12 04:06:39,70,
198,104,2,Salida,-10,2026-09-12 08:14:39,71,
199,102,1,Salida,-13,2026-09-12 06:36:39,73,
200,106,1,Salida,-3,2026-09-12 06:36:39,73,
201,105,1,Salida,-2,2026-09-12 06:36:39,73,
202,101,1,Salida,-14,2026-09-11 12:29:39,74,
203,106,1,Salida,1,2026-09-11 12:29:39,74,
204,106,1,Salida,-14,2026-09-11 12:29:39,74,
205,105,1,Salida,-14,2026-09-11 12:29:39,74,
206,104,1,Salida,-14,2026-09-11 12:29:39,74,
207,105,1,Salida,-13,2026-09-11 11:22:39,75,
208,103,1,Salida,-2,2026-09-11 11:22:39,75,
209,105,1,Salida,-6,2026-09-11 11:22:39,75,
210,106,1,Salida,-1,2026-09-11 11:22:39,75,
211,104,1,Salida,-6,2026-09-11 11:22:39,75,
212,104,1,Salida,-9,2026-09-12 04:24:39,76,
213,103,2,Salida,-12,2026-09-11 21:40:39,77,
214,103,2,Salida,-6,2026-09-11 21:40:39,77,
215,105,2,Salida,-11,2026-09-11 21:40:39,77,
216,106,2,Salida,-2,2026-09-11 21:40:39,77,
217,101,2,Salida,-8,2026-09-11 21:41:39,78,
218,101,2,Salida,-13,2026-09-11 21:41:39,78,
219,103,2,Salida,-7,2026-09-11 21:41:39,78,
220,103,2,Salida,-4,2026-09-11 11:33:39,81,
221,102,2,Salida,-15,2026-09-11 11:33:39,81,
222,105,2,Ajuste,-10,2026-09-11 11:33:39,81,
223,101,2,Salida,-12,2026-09-11 11:33:39,81,
224,105,1,Salida,-12,2026-09-12 06:28:39,82,
225,103,1,Salida,-3,2026-09-12 06:28:39,82,
226,105,2,Salida,-10,2026-09-11 23:30:39,83,
227,102,2,Salida,-12,2026-09-11 23:30:39,83,
228,103,2,Salida,-13,2026-09-11 23:30:39,83,
229,102,2,Salida,-1,2026-09-12 03:46:39,84,
230,103,2,Salida,-5,2026-09-12 03:46:39,84,
231,103,2,Salida,-8,2026-09-12 03:46:39,84,
232,106,2,Salida,-8,2026-09-12 08:55:39,85,
233,103,2,Salida,-7,2026-09-12 08:55:39,85,
234,102,2,Salida,-12,2026-09-12 08:55:39,85,
235,105,2,Salida,-15,2026-09-11 19:12:39,87,
236,103,2,Salida,-1,2026-09-11 19:12:39,87,
237,102,2,Salida,-5,2026-09-11 19:12:39,87,
238,103,2,Salida,-12,2026-09-12 07:37:39,89,
239,101,2,Ajuste,-11,2026-09-12 07:37:39,89,
240,106,2,Salida,-6,2026-09-12 07:37:39,89,
241,103,2,Ajuste,-2,2026-09-11 11:02:39,91,
242,101,2,Salida,-15,2026-09-11 11:02:39,91,
243,104,2,Salida,-2,2026-09-12 01:16:39,92,
244,102,1,Ajuste,-7,2026-09-11 13:36:39,93,
245,101,1,Salida,-5,2026-09-11 13:36:39,93,
246,106,2,Salida,-4,2026-09-12 01:32:39,94,
247,106,2,Salida,-1,2026-09-12 01:32:39,94,
248,105,2,Salida,-2,2026-09-11 22:21:39,95,
249,104,1,Salida,-13,2026-09-12 04:21:39,96,
250,102,1,Salida,-6,2026-09-12 04:21:39,96,
251,105,1,Salida,-3,2026-09-12 04:21:39,96,
252,103,2,Salida,-4,2026-09-11 13:20:39,97,
253,101,2,Salida,-14,2026-09-11 13:20:39,97,
254,104,2,Salida,-8,2026-09-12 02:49:39,98,
255,103,2,Salida,-5,2026-09-12 02:49:39,98,
256,104,1,Salida,-4,2026-09-12 01:39:39,99,
257,105,1,Salida,-15,2026-09-12 01:39:39,99,
258,104,1,Salida,-10,2026-09-12 01:39:39,99,
259,102,1,Salida,-9,2026-09-12 01:39:39,99,
260,105,1,Salida,-2,2026-09-12 07:44:39,101,
261,103,1,Salida,-15,2026-09-12 07:44:39,101,
262,105,1,Salida,-13,2026-09-11 19:06:39,102,
263,105,1,Salida,-13,2026-09-11 19:06:39,102,
264,103,1,Salida,-1,2026-09-11 19:06:39,102,
265,101,1,Ajuste,-4,2026-09-11 19:06:39,102,
266,102,1,Ajuste,-8,2026-09-11 19:06:39,102,
267,101,2,Salida,-11,2026-09-12 09:13:39,103,
268,102,2,Salida,-2,2026-09-12 09:13:39,103,
269,101,2,Salida,-7,2026-09-12 09:13:39,103,
270,106,2,Salida,-10,2026-09-12 09:13:39,103,
271,105,1,Salida,-15,2026-09-12 01:33:39,105,
